response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,Chr - WT,2X,2,2,3,CV,large_neg,DV,0.0238272727273611,0.00754599282974081,Inf,3.1576060652286,0.00453425099126215
QTL AF,Chr - Peri,20X,2,2,5,CV,large_neg,DV,-0.0272795454548524,0.00754599282974328,Inf,-3.61510354837967,0.000876342509485983
QTL AF,Chr - Peri,20X,2,2,3,GW,large_neg,DV,0.020747727272781,0.00754599282974132,Inf,2.74950264874454,0.0164436428008874
QTL AF,Chr - WT,20X,2,2,3,GW,large_neg,DV,0.0252113636364049,0.00754599282974111,Inf,3.34102671513801,0.0024056899352769
QTL AF,Chr - WT,2X,2,2,3,GW,large_neg,DV,0.0217068181818159,0.00754599282974131,Inf,2.87660201534541,0.0112106162651946
QTL AF,Peri - WT,20X,2,2,2,CV,med_neg,DV,-0.0182350000000015,0.00754599282974144,Inf,-2.41651435555715,0.0414713022595272
QTL AF,Chr - WT,2X,2,2,5,CV,med_neg,DV,0.0317224999999714,0.00754599282974154,Inf,4.20388684639897,7.78293043773859e-05
QTL AF,Peri - WT,2X,2,2,5,CV,med_neg,DV,0.0297512500000035,0.00754599282974142,Inf,3.94265548235659,0.000237698053670465
QTL AF,Chr - Peri,20X,2,8,5,CV,med_neg,DV,-0.0211800000000241,0.00754599282974152,Inf,-2.80678771871423,0.0138643682045357
QTL AF,Chr - WT,20X,2,8,5,CV,med_neg,DV,-0.021490000000025,0.0075459928297415,Inf,-2.84786912536215,0.012242377069974
QTL AF,Chr - WT,20X,2,2,3,GW,med_neg,DV,0.0273699999999647,0.00754599282974145,Inf,3.62709064499634,0.000837048997661238
QTL AF,Peri - WT,20X,2,2,3,GW,med_neg,DV,0.0275375000000039,0.00754599282974138,Inf,3.64928785665804,0.000768589785419938
QTL AF,Chr - WT,20X,2,2,2,CV,small_neg,DV,0.0280772727272862,0.00754599282974168,Inf,3.72081889829298,0.00058188197964848
QTL AF,Peri - WT,20X,2,2,2,CV,small_neg,DV,0.0203045454545481,0.00754599282974149,Inf,2.69077189876467,0.0195187757325307
QTL AF,Chr - Peri,2X,2,2,2,CV,small_neg,DV,0.0262840909090722,0.00754599282974142,Inf,3.48318524839797,0.00143822182557929
QTL AF,Peri - WT,2X,2,2,2,CV,small_neg,DV,-0.0216045454545458,0.00754599282974148,Inf,-2.86304876535192,0.0116872129635931
QTL AF,Chr - Peri,2X,2,2,3,CV,small_neg,DV,0.0210545454545205,0.00754599282974147,Inf,2.79016239871538,0.014573195836591
QTL AF,Chr - WT,2X,2,2,3,CV,small_neg,DV,0.0253295454545185,0.00754599282974153,Inf,3.35668824845492,0.00227539329772497
QTL AF,Chr - WT,2X,2,2,5,CV,small_neg,DV,-0.0182909090909318,0.00754599282974142,Inf,-2.42392346555657,0.0406770134930978
QTL AF,Chr - WT,20X,2,8,5,CV,small_neg,DV,-0.0397909090909222,0.00754599282974155,Inf,-5.27311779758012,4.01682132999959e-07
QTL AF,Peri - WT,20X,2,8,5,CV,small_neg,DV,-0.029002272727272,0.0075459928297415,Inf,-3.84340051490157,0.000356944014272997
QTL AF,Peri - WT,2X,2,2,2,GW,small_neg,DV,-0.0216840909090918,0.00754599282974164,Inf,-2.87359018201376,0.0113150013610719
QTL AF,Peri - WT,20X,2,8,2,GW,small_neg,DV,0.0196613636363635,0.0075459928297416,Inf,2.60553701547008,0.0248756510220036
QTL AF,Peri - WT,2X,2,2,3,GW,small_neg,DV,0.0258159090909088,0.00754599282974148,Inf,3.42114148176222,0.00180472657501496
QTL AF,Chr - WT,20X,2,8,3,GW,small_neg,DV,0.0308090909090987,0.0075459928297415,Inf,4.08284126479274,0.000131657927680995
QTL AF,Chr - WT,20X,2,2,4,GW,small_neg,DV,0.0247477272727068,0.00754599282974158,Inf,3.27958531515784,0.00298594127296836
QTL AF,Chr - Peri,2X,2,2,5,GW,small_neg,DV,0.0190568181818295,0.00754599282974153,Inf,2.52542224884175,0.0310320753560988
QTL AF,Chr - Peri,20X,2,8,5,GW,small_neg,DV,-0.0192318181818117,0.0075459928297415,Inf,-2.54861336549541,0.0291277026954109
QTL AF,Peri - WT,20X,2,8,5,GW,small_neg,DV,0.0344204545454531,0.00754599282974153,Inf,4.56142158123838,1.51475365947062e-05
QTL AF,Chr - WT,20X,2,2,2,CV,large_neg,R,0.0191454545455472,0.00754599282974194,Inf,2.53716839884698,0.0300545366362375
QTL AF,Peri - WT,20X,2,2,2,CV,large_neg,R,0.0178090909090761,0.00754599282974158,Inf,2.3600725989142,0.0479640326654464
QTL AF,Chr - Peri,20X,2,2,3,CV,large_neg,R,-0.0291113636362959,0.00754599282974093,Inf,-3.85785731488634,0.000336623468160657
QTL AF,Chr - Peri,20X,2,8,5,CV,large_neg,R,0.0201181818181344,0.0075459928297416,Inf,2.66607486543601,0.020955748827016
QTL AF,Chr - Peri,20X,2,2,3,GW,large_neg,R,0.0183499999999921,0.00754599282974128,Inf,2.43175423221562,0.0398515873030552
QTL AF,Peri - WT,20X,2,8,5,GW,large_neg,R,-0.0189295454545424,0.00754599282974137,Inf,-2.50855598218097,0.032483496807011
QTL AF,Chr - WT,20X,2,2,2,GW,med_neg,R,0.02737625000001,0.00754599282974142,Inf,3.62791889916865,0.000834395592721582
QTL AF,Chr - WT,20X,2,2,3,GW,med_neg,R,0.0241037500000087,0.00754599282974146,Inf,3.19424501770094,0.0040058437933217
QTL AF,Peri - WT,20X,2,2,3,GW,med_neg,R,0.0211487499999989,0.00754599282974121,Inf,2.80264644787956,0.0140380119804967
QTL AF,Chr - WT,2X,2,8,3,GW,med_neg,R,0.0205949999999997,0.00754599282974186,Inf,2.72926312874648,0.0174513657900612
QTL AF,Chr - WT,20X,2,2,5,GW,med_neg,R,0.0326825000000097,0.00754599282974141,Inf,4.3311066863457,4.41020043769891e-05
