response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,CV - GW,20X,Chr,2,2,2,large_neg,DV,-0.0417022727277186,0.00754599282974482,Inf,-5.5264129808521,3.26844255806211e-08
QTL AF,CV - GW,2X,Chr,2,2,2,large_neg,DV,-0.0286363636363201,0.00754599282974155,Inf,-3.79490999825147,0.000147697024188852
QTL AF,CV - GW,20X,Peri,2,2,2,large_neg,DV,-0.0375704545454119,0.00754599282974214,Inf,-4.97886168104082,6.39593300460487e-07
QTL AF,CV - GW,2X,Peri,2,2,2,large_neg,DV,-0.036768181818205,0.00754599282974126,Inf,-4.87254396443227,1.10170329065381e-06
QTL AF,CV - GW,20X,WT,2,2,2,large_neg,DV,-0.0231795454545044,0.00754599282974178,Inf,-3.07176881525047,0.00212794463637006
QTL AF,CV - GW,2X,WT,2,2,2,large_neg,DV,-0.0170363636363834,0.00754599282974142,Inf,-2.25767026563251,0.0239662243463838
QTL AF,CV - GW,20X,Chr,200,8,2,large_neg,DV,-0.0164126244589326,0.00754599282974135,Inf,-2.17501193404859,0.0296292220917485
QTL AF,CV - GW,20X,Chr,2,2,3,large_neg,DV,-0.0599295454549888,0.00754599282974065,Inf,-7.94190331307916,1.9910211873542e-15
QTL AF,CV - GW,2X,Chr,2,2,3,large_neg,DV,-0.0358704545453814,0.00754599282974025,Inf,-4.75357654780811,1.9984938867234e-06
QTL AF,CV - GW,20X,Peri,2,2,3,large_neg,DV,-0.0409749999999475,0.0075459928297417,Inf,-5.43003431416592,5.63432174647988e-08
QTL AF,CV - GW,2X,Peri,2,2,3,large_neg,DV,-0.0347909090909374,0.00754599282974135,Inf,-4.61051446455323,4.01673689952122e-06
QTL AF,CV - GW,20X,WT,2,2,3,large_neg,DV,-0.0497977272726884,0.00754599282974139,Inf,-6.59922801363104,4.13304241354248e-11
QTL AF,CV - GW,2X,WT,2,2,3,large_neg,DV,-0.0379909090909266,0.00754599282974139,Inf,-5.03458059769037,4.78896157021487e-07
QTL AF,CV - GW,20X,Chr,200,2,3,large_neg,DV,-0.0152726461364237,0.00754599282974038,Inf,-2.0239412468338,0.0429761973130592
QTL AF,CV - GW,20X,Peri,200,2,3,large_neg,DV,-0.0152837824187063,0.00754599282974153,Inf,-2.02541703438509,0.0428245597565493
QTL AF,CV - GW,2X,WT,2,8,3,large_neg,DV,-0.01890909090909,0.0075459928297414,Inf,-2.50584533218249,0.0122159043244492
QTL AF,CV - GW,20X,Chr,200,8,3,large_neg,DV,-0.0229306648500511,0.0075459928297411,Inf,-3.03878699164333,0.00237532738426549
QTL AF,CV - GW,20X,Peri,200,8,3,large_neg,DV,-0.0180997024104616,0.00754599282974145,Inf,-2.39858462880116,0.0164585727661723
QTL AF,CV - GW,20X,Chr,200,8,4,large_neg,DV,-0.0167600351962179,0.00754599282974102,Inf,-2.22105103653977,0.0263475048341499
QTL AF,CV - GW,20X,Chr,2,2,5,large_neg,DV,-0.0596431818184468,0.00754599282974492,Inf,-7.90395421306847,2.70192308278089e-15
QTL AF,CV - GW,2X,Chr,2,2,5,large_neg,DV,-0.0333590909090926,0.00754599282974058,Inf,-4.42076896463728,9.83502840705033e-06
QTL AF,CV - GW,20X,Peri,2,2,5,large_neg,DV,-0.0269681818181427,0.00754599282974114,Inf,-3.57384143168711,0.000351782013663856
QTL AF,CV - GW,2X,Peri,2,2,5,large_neg,DV,-0.0217840909091034,0.00754599282974115,Inf,-2.88684224867606,0.00389129277761842
QTL AF,CV - GW,20X,WT,2,2,5,large_neg,DV,-0.0343545454545324,0.00754599282974213,Inf,-4.55268726457382,5.29649787296206e-06
QTL AF,CV - GW,2X,WT,2,2,5,large_neg,DV,-0.0227068181818255,0.00754599282974148,Inf,-3.00912268195243,0.00262003294895174
QTL AF,CV - GW,20X,Chr,200,2,5,large_neg,DV,-0.0174804649091169,0.0075459928297413,Inf,-2.31652286233569,0.0205297376289683
QTL AF,CV - GW,20X,Peri,2,8,5,large_neg,DV,-0.0148999999999956,0.00754599282974136,Inf,-1.97455793242602,0.0483183369874565
QTL AF,CV - GW,20X,Chr,200,8,5,large_neg,DV,-0.0205852657688585,0.00754599282974142,Inf,-2.72797314194691,0.00637247963147696
QTL AF,CV - GW,20X,Peri,200,8,5,large_neg,DV,-0.0172997944369188,0.00754599282974138,Inf,-2.29258029092398,0.0218721801488453
QTL AF,CV - GW,20X,Chr,2,2,2,med_neg,DV,-0.0590037499999307,0.00754599282974209,Inf,-7.81921628223272,5.31532171667756e-15
QTL AF,CV - GW,2X,Chr,2,2,2,med_neg,DV,-0.0623225000000281,0.00754599282974164,Inf,-8.25901924454412,1.46874250293963e-16
QTL AF,CV - GW,20X,Peri,2,2,2,med_neg,DV,-0.0627012500000137,0.00754599282974145,Inf,-8.30921144701937,9.63401205315215e-17
QTL AF,CV - GW,2X,Peri,2,2,2,med_neg,DV,-0.0454187499999918,0.00754599282974162,Inf,-6.01892302640142,1.75581332931052e-09
QTL AF,CV - GW,20X,WT,2,2,2,med_neg,DV,-0.0400437500000131,0.00754599282974154,Inf,-5.30662444339808,1.11673929986026e-07
QTL AF,CV - GW,2X,WT,2,2,2,med_neg,DV,-0.0537074999999902,0.00754599282974156,Inf,-7.11735370173014,1.10018896818104e-12
QTL AF,CV - GW,2X,Chr,2,8,2,med_neg,DV,-0.0164224999999946,0.0075459928297415,Inf,-2.17632064733318,0.0295312927008882
QTL AF,CV - GW,20X,Chr,2,2,3,med_neg,DV,-0.0848712499998893,0.00754599282974118,Inf,-11.2471946256541,2.39075549134689e-29
QTL AF,CV - GW,2X,Chr,2,2,3,med_neg,DV,-0.0648287500000343,0.00754599282974145,Inf,-8.59114916522596,8.6103763041574e-18
