response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Chr,20X,2,1,CV,large_neg,DV,0.0311986501074944,0.007545992829663,Inf,4.13446590948957,3.55781057995309e-05
QTL AF,2 - 200,Peri,20X,2,1,CV,large_neg,DV,0.0300074546933675,0.00754599282973994,Inf,3.97660789910951,6.99052877078364e-05
QTL AF,2 - 200,WT,20X,2,1,CV,large_neg,DV,0.0327164673888022,0.00754599282973794,Inf,4.33560806735332,1.45357739362721e-05
QTL AF,2 - 200,Chr,2X,2,1,CV,large_neg,DV,0.0346786056014444,0.00754599282972049,Inf,4.59563193127616,4.31439703124056e-06
QTL AF,2 - 200,Peri,2X,2,1,CV,large_neg,DV,0.0328550322645415,0.00754599282974189,Inf,4.35397077705218,1.33693536485284e-05
QTL AF,2 - 200,WT,2X,2,1,CV,large_neg,DV,0.0337509679175178,0.00754599282974139,Inf,4.4727007670208,7.72378255424459e-06
QTL AF,2 - 200,Chr,20X,8,1,CV,large_neg,DV,0.0517706096996663,0.00754599282971635,Inf,6.86067570801182,6.85355874427715e-12
QTL AF,2 - 200,Peri,20X,8,1,CV,large_neg,DV,0.0521509502571699,0.00754599282974217,Inf,6.91107869220595,4.80982134503794e-12
QTL AF,2 - 200,WT,20X,8,1,CV,large_neg,DV,0.0487281061002075,0.00754599282974058,Inf,6.45748110283888,1.0646004069935e-10
QTL AF,2 - 200,Chr,2X,8,1,CV,large_neg,DV,0.0496991867809338,0.00754599282974068,Inf,6.58616936197667,4.51318988140976e-11
QTL AF,2 - 200,Peri,2X,8,1,CV,large_neg,DV,0.049580365953159,0.00754599282974197,Inf,6.57042314667218,5.0172475036488e-11
QTL AF,2 - 200,WT,2X,8,1,CV,large_neg,DV,0.0488969633561139,0.0075459928297415,Inf,6.47985817895204,9.18088726658552e-11
QTL AF,2 - 200,Chr,20X,2,2,CV,large_neg,DV,-0.138976521184415,0.00754599282974431,Inf,-18.4172612299082,9.55156525031535e-76
QTL AF,2 - 200,Peri,20X,2,2,CV,large_neg,DV,-0.128387101492385,0.00754599282974198,Inf,-17.0139442733575,6.47294617686301e-65
QTL AF,2 - 200,WT,20X,2,2,CV,large_neg,DV,-0.125900778746245,0.00754599282974161,Inf,-16.6844551256426,1.70050440336314e-62
QTL AF,2 - 200,Chr,2X,2,2,CV,large_neg,DV,-0.125266488749476,0.00754599282974138,Inf,-16.6003985924499,6.92296771803633e-62
QTL AF,2 - 200,Peri,2X,2,2,CV,large_neg,DV,-0.135327611413825,0.00754599282974125,Inf,-17.9337052747326,6.43450882520176e-72
QTL AF,2 - 200,WT,2X,2,2,CV,large_neg,DV,-0.124737076493561,0.00754599282974128,Inf,-16.530240527387,2.22254989185377e-61
QTL AF,2 - 200,Chr,20X,8,2,CV,large_neg,DV,0.0360643439427682,0.0075459928297415,Inf,4.77927089999681,1.75932015183719e-06
QTL AF,2 - 200,Peri,20X,8,2,CV,large_neg,DV,0.0439981953442496,0.00754599282974145,Inf,5.83067017647261,5.52052059907017e-09
QTL AF,2 - 200,WT,20X,8,2,CV,large_neg,DV,0.0374234159710882,0.00754599282974141,Inf,4.95937603115515,7.07199600760717e-07
QTL AF,2 - 200,Chr,2X,8,2,CV,large_neg,DV,0.0374321149873413,0.00754599282974147,Inf,4.96052883058779,7.03015257655673e-07
QTL AF,2 - 200,Peri,2X,8,2,CV,large_neg,DV,0.0354182919462491,0.00754599282974142,Inf,4.69365565875614,2.68365614136156e-06
QTL AF,2 - 200,WT,2X,8,2,CV,large_neg,DV,0.031302155387638,0.00754599282974144,Inf,4.14818249816845,3.35125209543418e-05
QTL AF,2 - 200,Chr,20X,2,3,CV,large_neg,DV,-0.148553528590151,0.00754599282974024,Inf,-19.6864126354153,2.81965036060304e-86
QTL AF,2 - 200,Peri,20X,2,3,CV,large_neg,DV,-0.151534899216554,0.0075459928297417,Inf,-20.0815058582214,1.07098556426448e-89
QTL AF,2 - 200,WT,20X,2,3,CV,large_neg,DV,-0.164379811242899,0.00754599282974122,Inf,-21.7837221624468,3.31053043223501e-105
QTL AF,2 - 200,Chr,2X,2,3,CV,large_neg,DV,-0.138815818420892,0.00754599282974011,Inf,-18.3959647925709,1.4151924052834e-75
QTL AF,2 - 200,Peri,2X,2,3,CV,large_neg,DV,-0.157690424982056,0.00754599282974139,Inf,-20.8972402359757,5.67314624841368e-97
QTL AF,2 - 200,WT,2X,2,3,CV,large_neg,DV,-0.164940483783296,0.00754599282974128,Inf,-21.8580228612477,6.52079673660516e-106
QTL AF,2 - 200,Chr,20X,8,3,CV,large_neg,DV,0.0412975625067689,0.0075459928297408,Inf,5.4727805125926,4.43028693890195e-08
QTL AF,2 - 200,Peri,20X,8,3,CV,large_neg,DV,0.0474239555216498,0.00754599282974141,Inf,6.28465419881335,3.28584252967449e-10
QTL AF,2 - 200,WT,20X,8,3,CV,large_neg,DV,0.0390935667174098,0.00754599282974116,Inf,5.18070552139006,2.21048225863115e-07
QTL AF,2 - 200,Chr,2X,8,3,CV,large_neg,DV,0.0399213050832991,0.0075459928297409,Inf,5.29039796141309,1.22050499426243e-07
QTL AF,2 - 200,Peri,2X,8,3,CV,large_neg,DV,0.0362841561794165,0.00754599282974141,Inf,4.80840056412562,1.52142673905505e-06
QTL AF,2 - 200,WT,2X,8,3,CV,large_neg,DV,0.0297158029175282,0.0075459928297414,Inf,3.93795801135774,8.21779700316345e-05
QTL AF,2 - 200,Chr,20X,2,4,CV,large_neg,DV,-0.063644469782485,0.00754599282974326,Inf,-8.43420756134622,3.3345445329022e-17
QTL AF,2 - 200,Peri,20X,2,4,CV,large_neg,DV,-0.062469256973677,0.0075459928297412,Inf,-8.27846757652161,1.24770460298936e-16
