response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL AF,DV - R,CV,20X,Chr,2,2,2,large_neg,-0.0150590909095747,0.00754599282974516,Inf,-1.99564076581335,0.0459730388784291
QTL AF,DV - R,CV,20X,WT,2,2,2,large_neg,0.0160250000000374,0.00754599282974175,Inf,2.12364368236297,0.0336999499285699
QTL AF,DV - R,GW,2X,Peri,200,8,2,large_neg,0.0149876815003721,0.00754599282974172,Inf,1.9861775433048,0.0470136134631487
QTL AF,DV - R,CV,20X,Chr,2,2,3,large_neg,0.0346386363631739,0.00754599282974032,Inf,4.59033518116474,4.42534786549543e-06
QTL AF,DV - R,GW,20X,Chr,2,2,3,large_neg,0.0240477272727578,0.00754599282974127,Inf,3.18682084854066,0.00143845843872361
QTL AF,DV - R,CV,2X,Chr,2,2,3,large_neg,0.0330022727273528,0.00754599282974025,Inf,4.37348318133623,1.22279669460509e-05
QTL AF,DV - R,GW,20X,Peri,2,2,3,large_neg,0.0216499999999689,0.00754599282974147,Inf,2.86907243201166,0.00411677511707751
QTL AF,DV - R,GW,20X,WT,200,8,3,large_neg,0.0150883525857615,0.00754599282974155,Inf,1.99951854264858,0.0455522776282001
QTL AF,DV - R,CV,20X,WT,2,2,4,large_neg,-0.0150954545454371,0.00754599282974133,Inf,-2.00045969907906,0.0454506475150389
QTL AF,DV - R,CV,2X,Chr,2,2,5,large_neg,0.0178431818181743,0.00754599282974071,Inf,2.36459034891336,0.0180500240676766
QTL AF,DV - R,CV,20X,Peri,2,2,5,large_neg,0.0290727272727437,0.00754599282974112,Inf,3.85273719823308,0.000116804734945717
QTL AF,DV - R,CV,2X,Peri,2,2,5,large_neg,0.0192931818181704,0.0075459928297411,Inf,2.55674531549116,0.0105656542762611
QTL AF,DV - R,CV,20X,Chr,2,8,5,large_neg,-0.0194613636364143,0.00754599282974146,Inf,-2.57903288215569,0.009907735512206
QTL AF,DV - R,GW,20X,WT,2,8,5,large_neg,-0.021459090909086,0.00754599282974144,Inf,-2.84377303202676,0.00445827936175133
QTL AF,DV - R,CV,20X,Chr,2,2,2,med_neg,0.0151350000000767,0.00754599282974204,Inf,2.00570028908894,0.0448882343598624
QTL AF,DV - R,GW,2X,Chr,2,2,2,med_neg,0.0175050000000052,0.00754599282974148,Inf,2.31977426893538,0.0203530917279839
QTL AF,DV - R,CV,2X,Peri,2,2,2,med_neg,0.0192662500000082,0.00754599282974148,Inf,2.55317629299527,0.01067454515325
QTL AF,DV - R,CV,20X,WT,2,2,2,med_neg,0.0318962499999863,0.00754599282974148,Inf,4.22691231222374,2.36919940642415e-05
QTL AF,DV - R,GW,2X,WT,2,2,2,med_neg,0.0216687499999984,0.00754599282974145,Inf,2.87155719451443,0.00408454861024255
QTL AF,DV - R,CV,2X,Chr,2,8,2,med_neg,0.0183750000000043,0.00754599282974146,Inf,2.43506724888232,0.0148890222834193
QTL AF,DV - R,CV,20X,Peri,2,8,2,med_neg,0.0303775000000104,0.00754599282974146,Inf,4.02564654981938,5.68189805479396e-05
QTL AF,DV - R,CV,2X,Peri,2,8,2,med_neg,0.018497499999997,0.00754599282974147,Inf,2.45130103054057,0.0142340856567555
QTL AF,DV - R,GW,2X,Peri,2,8,2,med_neg,0.0175337499999997,0.00754599282974132,Inf,2.32358423809963,0.0201477880171025
QTL AF,DV - R,CV,2X,WT,2,8,2,med_neg,0.0265337499999971,0.00754599282974142,Inf,3.51627023755154,0.000437655276995816
QTL AF,DV - R,CV,20X,Chr,2,2,3,med_neg,0.0209062500001053,0.00754599282974115,Inf,2.77051018624178,0.00559685495742088
QTL AF,DV - R,CV,2X,Chr,2,2,3,med_neg,0.0263574999999632,0.00754599282974138,Inf,3.4929134700578,0.000477781300855613
