response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,1 - 2,CV,20X,Chr,2,2,large_neg,DV,0.170904545457036,0.0075459928297359,Inf,22.648384289946,0
QTL AF,1 - 3,CV,20X,Chr,2,2,large_neg,DV,0.198100000002497,0.00754599282973026,Inf,26.2523440549808,0
QTL AF,1 - 4,CV,20X,Chr,2,2,large_neg,DV,0.102529545456825,0.00754599282973745,Inf,13.5872837107363,0
QTL AF,1 - 5,CV,20X,Chr,2,2,large_neg,DV,0.235834090911465,0.0075459928297376,Inf,31.2528909359785,0
QTL AF,2 - 3,CV,20X,Chr,2,2,large_neg,DV,0.0271954545454617,0.00754599282974237,Inf,3.60395976501216,0.00289551370866503
QTL AF,2 - 4,CV,20X,Chr,2,2,large_neg,DV,-0.0683750000002106,0.00754599282974402,Inf,-9.06110057919708,6.56141807553468e-14
QTL AF,2 - 5,CV,20X,Chr,2,2,large_neg,DV,0.0649295454544296,0.00754599282974459,Inf,8.60450664602968,4.39648317751562e-14
QTL AF,3 - 4,CV,20X,Chr,2,2,large_neg,DV,-0.0955704545456723,0.00754599282974207,Inf,-12.6650603442117,0
QTL AF,3 - 5,CV,20X,Chr,2,2,large_neg,DV,0.0377340909089679,0.00754599282974242,Inf,5.00054688102003,5.66863241435733e-06
QTL AF,4 - 5,CV,20X,Chr,2,2,large_neg,DV,0.13330454545464,0.00754599282974394,Inf,17.6656072252276,0
QTL AF,1 - 2,GW,20X,Chr,2,2,large_neg,DV,0.126754545454335,0.00754599282972507,Inf,16.7975968589614,0
QTL AF,1 - 3,GW,20X,Chr,2,2,large_neg,DV,0.135722727272527,0.00754599282972426,Inf,17.9860662917548,0
QTL AF,1 - 4,GW,20X,Chr,2,2,large_neg,DV,0.0895249999998346,0.00754599282972405,Inf,11.8639126778906,0
QTL AF,1 - 5,GW,20X,Chr,2,2,large_neg,DV,0.173743181818037,0.00754599282972542,Inf,23.0245622727896,0
QTL AF,2 - 4,GW,20X,Chr,2,2,large_neg,DV,-0.0372295454545005,0.00754599282974164,Inf,-4.93368418106158,7.99263073825163e-06
QTL AF,2 - 5,GW,20X,Chr,2,2,large_neg,DV,0.0469886363637015,0.0075459928297421,Inf,6.22696541381519,4.7521752088997e-09
QTL AF,3 - 4,GW,20X,Chr,2,2,large_neg,DV,-0.046197727272692,0.00754599282974113,Inf,-6.12215361385081,9.22358489585662e-09
QTL AF,3 - 5,GW,20X,Chr,2,2,large_neg,DV,0.03802045454551,0.00754599282974158,Inf,5.0384959810268,4.65514534564449e-06
QTL AF,4 - 5,GW,20X,Chr,2,2,large_neg,DV,0.0842181818182019,0.0075459928297415,Inf,11.1606495948774,1.4432899320127e-14
QTL AF,1 - 2,CV,2X,Chr,2,2,large_neg,DV,0.156990909090976,0.00754599282972825,Inf,20.8045399238247,0
QTL AF,1 - 3,CV,2X,Chr,2,2,large_neg,DV,0.186356818181859,0.00754599282972767,Inf,24.6961297720428,0
QTL AF,1 - 4,CV,2X,Chr,2,2,large_neg,DV,0.0911500000000993,0.00754599282972803,Inf,12.0792587611542,0
QTL AF,1 - 5,CV,2X,Chr,2,2,large_neg,DV,0.222072727272853,0.00754599282972742,Inf,29.4292258532234,0
QTL AF,2 - 3,CV,2X,Chr,2,2,large_neg,DV,0.0293659090908831,0.00754599282974108,Inf,3.89158984820964,0.000945077500944524
QTL AF,2 - 4,CV,2X,Chr,2,2,large_neg,DV,-0.0658409090908766,0.0075459928297413,Inf,-8.72528116265568,4.05231403988182e-14
QTL AF,2 - 5,CV,2X,Chr,2,2,large_neg,DV,0.0650818181818769,0.00754599282974111,Inf,8.62468592938085,4.2854608750531e-14
QTL AF,3 - 4,CV,2X,Chr,2,2,large_neg,DV,-0.0952068181817597,0.0075459928297407,Inf,-12.6168710108662,0
QTL AF,3 - 5,CV,2X,Chr,2,2,large_neg,DV,0.0357159090909938,0.00754599282974047,Inf,4.73309608117163,2.18134998164476e-05
QTL AF,4 - 5,CV,2X,Chr,2,2,large_neg,DV,0.130922727272754,0.00754599282974073,Inf,17.3499670920376,0
QTL AF,1 - 2,GW,2X,Chr,2,2,large_neg,DV,0.128338636363469,0.00754599282973985,Inf,17.0075216421712,0
